;Gebiet;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;
;Plot-ID;1A;;1B;;1C;;1D;;1E;;2A;;2B;;2C;;3A;;3B;;3C;;3D;;3E;;4A;;4B;;4C;;5A;;5B;;5C;;5D;;6A;;6B;;6C;;6D;;7A;;7B;;7C;;7D;;7E;;8A;;8B;;8C;;9A;;9B;;9C;;10A;;10B;;10C;;11;;12A;;12B;;12C;;12D;;12E;;Jehl_1;Jehl_2;Jehl_3;Jehl_4;Jehl_5;Jehl_7;Jehl_8;Jehl_9;Jehl_10;Jehl_11;Jehl_12;11A;;11B;;11C;;11D;;11E;
;Moose Höhe (cm);0;;0;;0;;2;;1;;1;;3;;3;;2;;2;;2;;3;;7;;2;;5;;3;;0;;1;;1;;1;;2;;3;;2;;3;;3;;2;;2;;2;;3;;1;;2;;1;;3;;2;;;;3;;3;;5;;;;1,5;;2,5;;3;;3;;5;;4;7;4;6;0;4;5;3,5;3;6;6;;;4;;3;;2;;1,5;
;Gräser Deckung (%);99;;50;;50;;25;;40;;95;;70;;60;;45;;65;;70;;80;;0,1;;25;;80;;30;;98;;40;;25;;90;;60;;55;;50;;40;;30;;45;;50;;50;;60;;30;;47;;50;;10;;60;;70;;40;;70;;17;;;;47;;30;;25;;30;;0,2;;45;65;60;60;70;70;60;55;50;70;40;39;;25;;50;;35;;35;
;Gräser Höhe (cm);40;;90;;95;;70;;65;;90;;75;;77;;65;;75;;100;;115;;35;;65;;90;;109;;40;;75;;67;;68;;88;;95;;72;;78;;73;;65;;67;;73;;95;;73;;74;;93;;58;;85;;82;;37;;104;;88;;;;88;;67;;75;;62;;40;;66;68;55;72;70;66;85;50;65;65;60;;;;;;;68;;84;
;Kräuter Deckung (%);1;;50;;45;;70;;30;;28;;30;;50;;25;;40;;40;;20;;70;;25;;30;;70;;2;;60;;65;;16;;40;;35;;45;;40;;60;;40;;45;;46;;35;;55;;46;;45;;90;;40;;40;;60;;40;;63;;;;45;;60;;65;;60;;95;;25;30;35;35;25;30;39;45;50;27;55;39;;60;;43;;40;;35;
;Kräuter Höhe (cm);25;;26;;21;;18;;25;;25;;93;;30;;10;;16;;58;;45;;40;;45;;90;;62;;17;;25;;16;;18;;40;;70;;32;;48;;35;;40;;35;;26;;26;;25;;38;;16;;40;;25;;30;;60;;92;;110;;;;32;;29;;30;;10;;24;;15;18;18;40;17;25;20;60;62;25;30;;;;;;;72;;;
;MW Kräuter Höhe (cm);;14,3;;16,8;;15,4;;9,2;;15;;12,7;;39,4;;13,8;;7,5;;11,5;;35,9;;24,8;;37,5;;9,6;;30,8;;23,3;;14,5;;10,9;;12;;22,5;;13,3;;26,7;;15,7;;17;;12;;17,8;;20,7;;11,6;;14,6;;12;;15,8;;12;;26,8;;19,5;;19,8;;32,6;;32,8;;27,4;;#DIV/0!;;25,7;;12,9;;23,8;;10,3;;24;;;;;;;;;;;;;;;;;;;;;
;Felsen Deckung;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;
;Wasser Deckung;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0;;;;;;;;;;;;;;;;;;;
;Baumschicht (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;;;;;;;;;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;
;Baumschicht (Höhe);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;
